[Ep 1] Threat: 0.00, Dist: 0.00, Survive: 3.69, HP: -5.00, End: -1.75, Final: -2.56, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 2] Threat: 0.00, Dist: 0.00, Survive: 4.03, HP: -5.00, End: -1.73, Final: -2.20, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 3] Threat: 0.00, Dist: 0.00, Survive: 4.27, HP: -5.00, End: -1.72, Final: -1.95, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 4] Threat: 0.00, Dist: 0.00, Survive: 4.44, HP: -5.00, End: -1.70, Final: -1.76, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 5] Threat: 0.00, Dist: 0.00, Survive: 4.45, HP: -5.00, End: -1.70, Final: -1.75, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 6] Threat: 0.00, Dist: 0.00, Survive: 4.50, HP: -5.00, End: -1.70, Final: -1.70, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 7] Threat: 0.00, Dist: 0.00, Survive: 4.53, HP: -5.00, End: -1.70, Final: -1.67, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 8] Threat: 0.00, Dist: 0.00, Survive: 4.53, HP: -5.00, End: -1.70, Final: -1.67, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 9] Threat: 0.00, Dist: 0.00, Survive: 5.53, HP: -5.00, End: -1.63, Final: -0.60, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 10] Threat: 0.00, Dist: 0.00, Survive: 5.93, HP: -5.00, End: -1.60, Final: -0.17, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 11] Threat: 0.00, Dist: 0.00, Survive: 6.87, HP: -5.00, End: -1.54, Final: 0.83, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 12] Threat: 0.00, Dist: 0.00, Survive: 7.03, HP: -5.00, End: -1.53, Final: 1.00, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 13] Threat: 0.00, Dist: 0.00, Survive: 7.19, HP: -5.00, End: -1.52, Final: 1.17, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 14] Threat: 0.00, Dist: 0.00, Survive: 7.19, HP: -5.00, End: -1.52, Final: 1.17, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 15] Threat: 0.00, Dist: 0.00, Survive: 2.70, HP: -5.00, End: -1.82, Final: -3.62, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 16] Threat: 0.00, Dist: 0.00, Survive: 7.41, HP: -5.00, End: -1.51, Final: 1.40, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 17] Threat: 0.00, Dist: 0.00, Survive: 7.52, HP: -5.00, End: -1.50, Final: 1.52, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 18] Threat: 0.00, Dist: 0.00, Survive: 4.17, HP: -5.00, End: -1.72, Final: -2.05, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 19] Threat: 0.00, Dist: 0.00, Survive: 8.19, HP: -5.00, End: -1.45, Final: 2.24, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 20] Threat: 0.00, Dist: 0.00, Survive: 8.30, HP: -5.00, End: -1.45, Final: 2.35, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 21] Threat: 0.00, Dist: 0.00, Survive: 4.09, HP: -5.00, End: -1.73, Final: -2.14, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 22] Threat: 0.00, Dist: 0.00, Survive: 4.24, HP: -5.00, End: -1.72, Final: -1.98, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 23] Threat: 0.00, Dist: 0.00, Survive: 5.59, HP: -5.00, End: -1.63, Final: -0.54, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 24] Threat: 0.00, Dist: 0.00, Survive: 5.36, HP: -5.00, End: -1.64, Final: -0.78, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 25] Threat: 0.00, Dist: 0.00, Survive: 5.40, HP: -5.00, End: -1.64, Final: -0.74, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 26] Threat: 0.00, Dist: 0.00, Survive: 4.26, HP: -5.00, End: -1.72, Final: -1.96, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 27] Threat: 0.00, Dist: 0.00, Survive: 2.96, HP: -5.00, End: -1.80, Final: -3.34, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 28] Threat: 0.00, Dist: 0.00, Survive: 5.83, HP: -5.00, End: -1.61, Final: -0.28, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 29] Threat: 0.00, Dist: 0.00, Survive: 4.13, HP: -5.00, End: -1.72, Final: -2.09, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 30] Threat: 0.00, Dist: 0.00, Survive: 7.39, HP: -5.00, End: -1.51, Final: 1.38, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 31] Threat: 0.00, Dist: 0.00, Survive: 5.49, HP: -5.00, End: -1.63, Final: -0.64, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 32] Threat: 0.00, Dist: 0.00, Survive: 4.19, HP: -5.00, End: -1.72, Final: -2.03, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 33] Threat: 0.00, Dist: 0.00, Survive: 4.00, HP: -5.00, End: -1.73, Final: -2.23, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 34] Threat: 0.00, Dist: 0.00, Survive: 5.36, HP: -5.00, End: -1.64, Final: -0.78, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 35] Threat: 0.00, Dist: 0.00, Survive: 5.51, HP: -5.00, End: -1.63, Final: -0.62, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 36] Threat: 0.00, Dist: 0.00, Survive: 6.70, HP: -5.00, End: -1.55, Final: 0.65, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 37] Threat: 0.00, Dist: 0.00, Survive: 6.87, HP: -5.00, End: -1.54, Final: 0.83, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 38] Threat: 0.00, Dist: 0.00, Survive: 4.00, HP: -5.00, End: -1.73, Final: -2.23, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 39] Threat: 0.00, Dist: 0.00, Survive: 6.95, HP: -5.00, End: -1.54, Final: 0.91, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 40] Threat: 0.00, Dist: 0.00, Survive: 6.85, HP: -5.00, End: -1.54, Final: 0.81, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
