[Ep 1] Threat: -6.58, Dist: -6.95, Survive: 2.01, HP: -5.00, End: -1.73, Final: -17.75, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 2] Threat: -4.60, Dist: -7.09, Survive: 2.10, HP: -5.00, End: -1.72, Final: -15.82, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 3] Threat: -5.61, Dist: -7.65, Survive: 2.18, HP: -5.00, End: -1.71, Final: -17.29, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 4] Threat: -7.56, Dist: -6.87, Survive: 2.27, HP: -5.00, End: -1.70, Final: -18.36, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 5] Threat: -4.81, Dist: -6.34, Survive: 2.77, HP: -5.00, End: -1.63, Final: -14.51, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 6] Threat: -4.29, Dist: -3.85, Survive: 2.85, HP: -5.00, End: -1.62, Final: -11.41, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 7] Threat: -5.05, Dist: -6.83, Survive: 2.85, HP: -5.00, End: -1.62, Final: -15.16, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 8] Threat: -4.05, Dist: -4.40, Survive: 2.93, HP: -5.00, End: -1.61, Final: -11.63, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 9] Threat: -4.85, Dist: -3.76, Survive: 2.94, HP: -5.00, End: -1.61, Final: -11.79, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 10] Threat: -5.03, Dist: -5.80, Survive: 3.00, HP: -5.00, End: -1.60, Final: -13.93, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 11] Threat: -6.32, Dist: -3.90, Survive: 3.02, HP: -5.00, End: -1.60, Final: -13.30, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 12] Threat: -7.38, Dist: -5.22, Survive: 3.23, HP: -5.00, End: -1.57, Final: -15.44, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 13] Threat: -4.84, Dist: -3.67, Survive: 3.68, HP: -5.00, End: -1.51, Final: -10.83, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 14] Threat: -4.26, Dist: -6.13, Survive: 3.68, HP: -5.00, End: -1.51, Final: -12.72, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 15] Threat: -6.42, Dist: -6.69, Survive: 2.08, HP: -5.00, End: -1.72, Final: -17.26, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 16] Threat: -3.23, Dist: -5.59, Survive: 4.18, HP: -5.00, End: -1.44, Final: -10.58, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
